Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),214,Dominican Republic,2016,4.25,2016,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2011-2016.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,_T,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),214,Dominican Republic,2016,5.19,2016,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2011-2016.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,B40,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),242,Fiji,2013,-0.51,2013,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2008-2013.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,_T,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),242,Fiji,2013,1.18,2013,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2008-2013.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,B40,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),480,Mauritius,2017,2.71,2017,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2012-2017.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,B40,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),480,Mauritius,2017,2.02,2017,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2012-2017.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,_T,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),690,Seychelles,2018,3.55,2018,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2013-2018.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,B40,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),690,Seychelles,2018,-1.57,2018,,,,,World Bank,,Estimated from income data. Growth rates are for the period of 2013-2018.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,_T,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),776,Tonga,2015,1.03,2015,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2009-2015.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,B40,,,,,
10,10.1,10.1.1,SI_HEI_TOTL,Growth rates of household expenditure or income per capita (%),776,Tonga,2015,0.6,2015,,,,,World Bank,,Estimated from consumption data. Growth rates are for the period of 2009-2015.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,PERCENT,,,,,,G,,,,_T,,,,,
