Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,IWW,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,RAI,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,ROA,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2019,0,2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,IWW,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2019,0,2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,RAI,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",16,American Samoa,2019,0,2019,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,ROA,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",28,Antigua and Barbuda,2017,322269,2017,,,,,ICAO,,,,,,,,,,AIR,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,C,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",28,Antigua and Barbuda,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,ROA,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",28,Antigua and Barbuda,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,RAI,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
9,9.1,9.1.2,IS_RDP_FRGVOL,"Freight volume, by mode of transport (tonne kilometres)",28,Antigua and Barbuda,2018,0,2018,,,,,the International Transport Forum at the OECD (ITF-OECD),,,,,,,,,,IWW,,,,,,,,,,,,,G,,,,,,,,,,T_KM,,,,,,M,,,,,,,,,
