Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),84,Belize,2014,10.8,2014,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),84,Belize,2016,5.1,2016,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),84,Belize,2018,5,2018,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),174,Comoros,2000,65.4,2000,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),174,Comoros,2005,68.9,2005,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),174,Comoros,2014,69.6,2014,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),174,Comoros,2016,69.6,2016,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),174,Comoros,2018,68.4,2018,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),192,Cuba,2016,6.6,2016,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
11,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),192,Cuba,2018,6.6,2018,,,,,United Nations Human Settlements Programme (UN-HABITAT),,,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
