geo_area_name,s_1_c_1_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_1_maternity_care_percent,s_1_c_2_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_2_life_saving_commodities_percent,s_1_c_3_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_3_abortion,s_1_c_4_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_4_post_abortion_care_percent,s_1_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_section_1_maternity_care_percent,s_2_c_5_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_5_contraceptive_services_percent,s_2_c_6_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_6_contraceptive_consent_percent,s_2_c_7_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_7_emergency_contraception_percent,s_2_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_section_2_contraceptive_and_family_planning_percent,s_3_c_8_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_8_sexuality_education_curriculum_laws_percent,s_3_c_9_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_9_sexuality_education_curriculum_topics_percent,s_3_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_section_3_sexuality_education_percent,s_4_c_10_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_10_hiv_counselling_and_test_services,s_4_c_11_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_11_hiv_treatment_and_care_services_percent,s_4_c_12_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_12_hiv_confidentiality_percent,s_4_c_13_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_component_13_hpv_vaccine_percent,s_4_extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_section_4_hiv_and_hpv_percent,current_number_of_seats_in_national_parliaments_number,degree_to_which_the_legal_framework_including_customary_law_guarantees_women_s_equal_rights_to_land_ownership_and_or_control_1_no_evidence_to_6_highest_levels_of_guarantees,extent_to_which_countries_have_laws_and_regulations_that_guarantee_full_and_equal_access_to_women_and_men_aged_15_years_and_older_to_sexual_and_reproductive_health_care_information_and_education_percent,legal_frameworks_that_promote_enforce_and_monitor_gender_equality_percentage_of_achievement_0_100_area_2_violence_against_women,legal_frameworks_that_promote_enforce_and_monitor_gender_equality_percentage_of_achievement_0_100_area_1_overarching_legal_frameworks_and_public_life,legal_frameworks_that_promote_enforce_and_monitor_gender_equality_percentage_of_achievement_0_100_area_3_employment_and_economic_benefits,legal_frameworks_that_promote_enforce_and_monitor_gender_equality_percentage_of_achievement_0_100_area_4_marriage_and_family,number_of_seats_held_by_women_in_national_parliaments_number,proportion_of_countries_with_systems_to_track_and_make_public_allocations_for_gender_equality_and_womens_empowerment_percent,proportion_of_elected_seats_held_by_women_in_deliberative_bodies_of_local_government_percent,proportion_of_ever_partnered_women_and_girls_subjected_to_physical_and_or_sexual_violence_by_a_current_or_former_intimate_partner_in_the_previous_12_months_by_age_percent,proportion_of_girls_and_women_aged_15_49_years_who_have_undergone_female_genital_mutilation_cutting_by_age_percent,proportion_of_individuals_who_own_a_mobile_telephone_by_sex_percent,proportion_of_people_with_ownership_or_secure_rights_over_agricultural_land_out_of_total_agricultural_population_by_sex_percent,proportion_of_seats_held_by_women_in_national_parliaments_percent_of_total_number_of_seats,proportion_of_time_spent_on_unpaid_care_work_by_sex_age_and_location_percent,proportion_of_time_spent_on_unpaid_domestic_chores_and_care_work_by_sex_age_and_location_percent,proportion_of_time_spent_on_unpaid_domestic_chores_by_sex_age_and_location_percent,proportion_of_women_aged_20_24_years_who_were_married_or_in_a_union_before_age_15_percent,proportion_of_women_aged_20_24_years_who_were_married_or_in_a_union_before_age_18_percent,proportion_of_women_in_managerial_positions_percent,proportion_of_women_in_senior_and_middle_management_positions_percent,proportion_of_women_who_make_their_own_informed_decisions_regarding_contraceptive_use_percent_of_women_aged_15_49_years,proportion_of_women_who_make_their_own_informed_decisions_regarding_reproductive_health_care_percent_of_women_aged_15_49_years,proportion_of_women_who_make_their_own_informed_decisions_regarding_sexual_relations_percent_of_women_aged_15_49_years,proportion_of_women_who_make_their_own_informed_decisions_regarding_sexual_relations_contraceptive_use_and_reproductive_health_care_percent_of_women_aged_15_49_years,share_of_women_among_owners_or_rights_bearers_of_agricultural_land_by_type_of_tenure_percent
Barbados,100,77,75,0,63,60,0,0,20,0,0,0,80,80,100,0,65,30,NA,44,83.33334,40,50,72.72727,6,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,7.7,29.2,45.9,43.2,NA,NA,NA,NA,NA
Belize,0,100,19,100,55,0,0,0,0,0,100,50,60,80,100,0,60,32,NA,43,NA,NA,NA,NA,4,NA,30.95752,7.199999999999999,NA,NA,NA,12.5,NA,NA,NA,6.3,33.5,56.69,41.7,NA,NA,NA,NA,NA
Saint_Vincent_and_the_Grenadines,100,62,38,100,75,80,100,100,93,100,100,100,80,100,100,0,70,22,NA,81,NA,NA,NA,NA,4,NA,NA,NA,NA,93.5886,NA,18.18,NA,NA,NA,NA,NA,49.53,NA,NA,NA,NA,NA,NA
Suriname,100,62,NA,0,NA,60,0,0,20,0,0,0,80,80,100,100,90,51,2,NA,66.66666,27.27273,60,54.54546,15,NA,33.05085,6.800000000000001,NA,NA,NA,29.41,NA,NA,NA,8.8,36,43.25,42.2,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,85,NA,100,NA,0,100,0,33,0,0,0,100,100,100,0,75,18,NA,NA,NA,NA,NA,NA,2,NA,66.66667,NA,NA,NA,NA,11.11,NA,NA,NA,NA,NA,45.06,NA,NA,NA,NA,NA,NA
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,12.82,NA,NA,NA,NA,NA,51.64,NA,NA,NA,NA,NA,NA
Cabo_Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,83.33334,60,70,81.81818,19,NA,41.81287,10.55,NA,71.67661,NA,26.39,NA,NA,NA,1.8,8.4,46.04,NA,NA,NA,NA,NA,NA
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,4,1,28.0402,7.75,NA,NA,NA,16.67,NA,NA,NA,10,31.6,25.56,NA,71.3,47,47.4,20.8,NA
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,NA,NA,NA,313,NA,36.83867,4,NA,63.02447,NA,53.41,3.565475,16.735120000000002,13.169640000000001,4.8,29.4,38.12,NA,NA,NA,NA,NA,NA
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,34.38,NA,NA,NA,NA,NA,48.41,NA,NA,NA,NA,NA,NA
Dominican_Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,83.33334,70,90,81.81818,53,1,29.17325,8.7,NA,70.69515666666666,NA,27.89,5.187645,9.94014375,5.059595,9.4,31.5,38.2,47.6,92.3,88.2,93.3,77,NA
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,83.33334,60,80,90.90909,11,1,NA,19.799999999999997,NA,NA,NA,21.57,3.0939780555555556,9.494905000000001,6.400926388888889,0.2,4,38.89,38.6,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,7,NA,NA,6.699999999999999,NA,92.55852333333334,NA,46.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,14,0,NA,NA,52.1,NA,25.403,13.73,NA,NA,NA,8.1,25.7,NA,NA,NA,NA,NA,NA,24.278
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,2,NA,NA,NA,NA,NA,25,NA,38.71513,9.5,NA,NA,NA,35.71,NA,NA,NA,6.3,32.3,46.79,45.9,90.3,91.8,82.8,71.3,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,NA,11.149999999999999,NA,58.68391,42.498000000000005,2.54,NA,NA,NA,2.1,14.9,23.95,NA,93,78.1,80.3,59,41.18198
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,58.33333,50,50,90.90909,18,NA,18.34061,6.5,NA,96.38604333333333,NA,28.57,NA,NA,NA,1.4,7.9,56.69,63.9,NA,NA,NA,NA,NA
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,3,1,NA,22.35,NA,NA,NA,6.67,NA,NA,NA,2.4,18.4,40.24,38.5,NA,NA,NA,NA,NA
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,4,0,5.99676,5.699999999999999,12.9,NA,NA,4.6,NA,NA,NA,0,2.2,19.19,22.3,92.8,88.1,71.4,57.9,NA
Marshall_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,2,0,15.92357,17.15,NA,NA,NA,6.06,NA,NA,NA,5.5,26.3,33.24,25,NA,NA,NA,NA,NA
Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,83.33334,58.33333,90,81.81818,14,NA,24.4186,NA,NA,79.42075666666666,NA,20,1.9791699999999999,11.875,9.895835,NA,NA,30.21,31,NA,NA,NA,NA,NA
